UBIGUEO;DEPARTAMENTO, PROVINCIA Y DISTRITO; 0 - 4 ; 5 - 9 ; 10 - 14 ; 15 - 19 ; 20 - 24 ; 25 - 29 ; 30 - 34 ; 35 - 39 ; 40 - 44 ; 45 - 49 ; 50 - 54 ; 55 - 59 ; 60 - 64 ; 65 - 69 ; 70 - 74 ; 75 - 79 ;80 y más ;
;;;;;;;;;;;;;;;;;;;
010101;CHACHAPOYAS;28.090;2.127;2.131;2.343;2.370;2.774;2.780;2.490;2.220;2.164;1.726;1.408;1.091;861;633;442;315;
010102;ASUNCIÓN;293;26;28;14;7;17;36;37;24;17;19;15;10;18;9;8;5;215
010103;BALSAS;1.603;187;197;144;110;131;120;134;101;105;89;76;55;50;26;38;25;3
010104;CHETO;603;56;69;52;32;33;50;58;50;43;37;39;20;15;24;14;8;15
010105;CHILIQUIN;764;72;63;63;55;55;77;56;60;53;41;51;26;34;26;10;17;3
010106;CHUQUIBAMBA;2.121;231;245;223;153;140;205;155;141;134;114;90;81;71;43;48;29;5
010107;GRANADA;405;37;50;36;21;24;36;42;32;22;29;22;12;11;11;11;5;18
010108;HUANCAS;1.177;46;35;58;39;161;195;171;90;122;62;53;50;31;26;18;9;4
010109;LA JALCA;5.593;712;710;608;403;436;494;424;356;327;293;243;156;153;115;74;51;11
010110;LEIMEBAMBA;4.209;400;428;389;330;283;376;323;302;297;239;205;185;141;112;98;59;38
010111;LEVANTO;913;93;90;74;62;68;99;71;69;63;47;49;25;26;33;27;8;42
010112;MAGDALENA;836;79;72;88;66;46;58;60;60;63;37;40;38;32;32;35;14;9
010113;MARISCAL CASTILLA;1.062;103;95;103;88;61;80;57;74;87;79;59;40;38;33;26;27;16
010114;MOLINOPAMPA;2.734;263;275;268;179;152;245;237;243;235;186;99;88;99;69;35;39;12
010115;MONTEVIDEO;628;61;48;61;54;36;60;41;54;43;47;29;30;16;15;18;8;22
010116;OLLEROS;367;21;38;28;21;31;32;29;30;34;21;19;17;20;11;5;7;7
010117;QUINJALCA;887;70;74;77;49;51;95;61;63;72;55;52;48;53;23;18;14;3
010118;SAN FRANCISCO DE DAGUAS;345;25;32;22;16;23;28;31;23;26;18;29;17;17;9;15;10;12
010119;SAN ISIDRO DE MAINO;717;71;57;48;46;73;66;69;38;59;46;32;29;27;21;13;17;4
010120;SOLOCO;1.375;116;126;129;102;94;97;96;93;117;73;80;55;55;47;50;31;5
010121;SONCHE;228;18;29;20;7;14;24;23;18;20;6;7;8;8;8;9;6;14
010201;BAGUA;26.052;2.272;2.280;2.424;2.082;2.352;2.483;2.247;2.233;2.084;1.636;1.184;918;692;452;353;210;3
010202;ARAMANGO;11.405;1.216;1.271;1.253;970;949;1.071;870;891;801;588;425;333;262;213;143;93;150
010203;COPALLIN;6.446;593;562;553;491;577;691;584;452;409;396;280;279;222;149;101;65;56
010204;EL PARCO;1.455;140;127;121;126;136;150;119;80;101;81;71;63;47;35;31;17;42
010205;IMAZA;23.931;3.867;3.655;2.799;1.897;1.929;2.418;1.725;1.535;1.097;916;726;512;371;220;134;73;10
010206;LA PECA;8.017;673;785;844;652;607;727;594;646;561;469;398;320;226;213;151;87;57
010301;JUMBILLA;1.739;124;163;178;146;86;164;144;129;128;118;91;61;64;59;39;25;20
010302;CHISQUILLA;345;28;43;39;22;16;34;22;32;26;16;17;15;14;10;5;3;3
010303;CHURUJA;278;23;21;26;19;16;20;21;33;21;19;10;9;10;10;7;8;5
010304;COROSHA;955;114;106;107;71;91;106;84;51;52;50;40;30;16;19;4;11;3
010305;CUISPES;887;103;92;81;65;74;86;58;77;63;45;33;31;23;22;19;7;8
010306;FLORIDA;8.022;728;793;784;639;597;783;718;729;594;410;321;267;247;146;129;80;57
010307;JAZAN;9.234;730;784;879;823;689;743;742;746;777;614;470;346;279;224;172;132;84
010308;RECTA;217;14;16;15;13;19;17;16;15;17;16;17;6;9;6;12;6;3
010309;SAN CARLOS;337;15;26;36;28;21;21;24;39;22;21;26;9;14;13;10;6;6
010310;SHIPASBAMBA;1.702;154;188;154;149;148;174;126;140;107;100;66;74;40;37;13;15;17
010311;VALERA;1.308;84;91;105;127;109;112;83;97;115;95;66;60;37;44;22;37;24
010312;YAMBRASBAMBA;7.836;881;770;852;716;747;767;656;579;473;398;302;228;167;124;86;61;29
010401;NIEVA;27.501;4.603;4.099;3.157;2.475;2.350;2.781;2.020;1.783;1.264;976;747;564;339;170;107;37;29
010402;EL CENEPA;9.481;1.592;1.591;1.081;895;746;914;673;568;373;295;339;180;109;63;38;15;9
