X;N ;CU;;
Barranco;352;0.36;;
Breña;680; 0.41;;
 Chorrillos;2,443;0.41;;
Jesus Maria;599; 0.37;;
La Molina;1,003; 0.35;;
Lince;426; 0.35;;
Magdalena;344; 0.32;;
Pueblo libre;601; 0.37;;
San borja;684; 0.33;;
San Miguel ;980;0.39;;
Surquillo;869;0.38;;
Ancon;404;0.43;;
Ate;4,073;0.43;;
Carabayllo;1,368;0.42;;
Lima cercado;2,327;0.39;;
Comas;2,749;0.41;;
El agustino;1,480;0.45;;
independencia;1,348;0.39;;
 La victoria ;1,627;0.43;;
los olivos ;1,992;0.41;;
Lurin ;655;0.42;;
Lurigancho;1,487;0.42;;
Pachacamac;671;0.39;;
Puente piedra;1,487;0.40;;
 Rimac;1,23;0.42;;
 San Juan de Miraflores;2,546;0.43;;
San Martin de porres;3,357;0.43;;
 Santa Anita;1,335;0.43;;
 Santiago de surco;2,259;0.37;;
 Villa el salvador;3,407;0.46;;
 Villa maria del triunfo ;3,377;0,43;;
